Place Name	Function	Importance	Lat-Long	Dates of Operation (Cal. BC)	Description Summary
Khirbat al-Ghuweiba (KAG)	Smelting	Medium	30.693455°N, 35.47568°E	ca. 1192–1051 BCE (Iron I-IIA smelting) 13, 24.	Features extensive scatters of small slag fragments on both sides of Wadi al-Ghuweiba 24. Excavation revealed an Iron Age I–IIA smelting layer underneath a later Roman-Nabataean building 24.
Wadi Fidan	Burial	Medium	30.669°N, 35.389°E	Iron Age (along with Paleolithic, EBA, Roman, and modern) 23, 25.	The western gateway to the Faynan district 23. Surveyed sectors documented cemeteries, campsites, and several small-scale copper smelting scatters demonstrating simpler technologies than the major lowland centers 23.
Khirbat Hamra Ifdan (KHI)	Smelting	Medium	30.661394°N, 35.392700°E	ca. 1192–1021 BCE (Iron I reuse of EBA site) 28, 29.	The largest Early Bronze Age copper manufactory in the Near East 28. However, it features a large eastern surface "slag mound" confirmed by archaeomagnetism and radiocarbon to date to the Iron Age I 28.
Wadi Fidan 40	Burial	Major	30.673926°N, 35.381107°E	Primarily 10th century BCE (ca. 1090–840 BCE) 30, 31.	The largest Iron Age cemetery in Edom (~3,450 m²) with an estimated 1,500 to 3,000 sub-surface cist graves 30. Attributed to a mobile nomadic community (Shasu) whose members were actively engaged in smelting 30.
Wadi Fidan 4	Burial	Medium	30.671285°N, 35.384405°E	EBI, reused for graves in the Iron Age 32.	Well-preserved EBI village and metalworking site 32. Reused during the Iron Age for isolated tumuli burials, including Tomb 1 which contained eight individuals buried with Egyptian amulets 32.
Umm adh-Dhuhur (ez-Zuhur)	Mining	Medium	30.673789°N, 35.399239°E	Iron Age II 33.	Small mining district with 24 tailing dumps 33. Shafts were dug into the local gravel to reach the buried Burj (DLS) formation 33. Probably supplied ore to Wadi Fidan's smelting sites 33.
Madsus	Placer mining	Minor	30.671509°N, 35.410828°E	Early Bronze I / Chalcolithic (with likely Iron Age reuse) 34.	Located near Jabal Madsus, containing 20–30 refilled pit mines ("Tellerpingen") and a nearby early smelting installation 34.
Barqa el-Hetiye	Smelting	Medium	30.600460°N, 35.380410°E	ca. 908–843 BCE (Iron IIA / 9th century BCE) 35, 36.	Located far from the mines 35. Features an excavated "four-room" house (BH2) containing Midianite pottery and limited smelting remains, serving as an oasis road station on the route leading to the Gulf of Aqaba 35.
Rujm Hamra Ifdan (RHI)	Smelting	Medium	30.672203°N, 35.390267°E	10th c. BCE (Iron IIA, 1050–842 BCE) and 7th–6th c. BCE (Iron IIC, 791–524 BCE) 7, 38.	Structural remains situated on a small, prominent inselberg 37. It is unique as the only stratified site in the Edom lowlands preserving clear evidence of both 10th-century and 7th–6th-century BCE occupations 38.
Jabal al-Jariya (JAJ)	Placer mining	Major	30.695061°N, 35.429852°E	Iron Age (OSL dated) 39.	A massive mining district consisting of three fields of pit mines (JAJ-1, 2, 3) in the colluvial/alluvial deposits of the Burj (DLS) formation, associated with a geological dike 39. It served as the main ore source for Khirbat en-Nahas 39.
