location name,latitude,longitude,start year,end time,title,description
Ras al-Miyah,30.703,35.486,-800,-500,Smelting,"Dense concentration of late Iron Age sites in the upper Wadi Ghuweiba 21. RAM East features a massive sandstone block fortress next to a mining complex 22. RAM West features a local dolomite tower, rooms, and a courtyard 23. Represents late Edomite plateau-fringe operations 21."
RAM East,30.703212,35.486475,-800,-500,Mining,"Dense concentration of late Iron Age sites in the upper Wadi Ghuweiba 21. RAM East features a massive sandstone block fortress next to a mining complex 22. RAM West features a local dolomite tower, rooms, and a courtyard 23. Represents late Edomite plateau-fringe operations 21."
RAM West,30.701085,35.471208,-800,-500,Mining,"Dense concentration of late Iron Age sites in the upper Wadi Ghuweiba 21. RAM East features a massive sandstone block fortress next to a mining complex 22. RAM West features a local dolomite tower, rooms, and a courtyard 23. Represents late Edomite plateau-fringe operations 21."
Khirbat al-Ghuweiba (KAG),30.693455,35.47568,-1192,-1051,Smelting,Features extensive scatters of small slag fragments on both sides of Wadi al-Ghuweiba 24. Excavation revealed an Iron Age I–IIA smelting layer underneath a later Roman-Nabataean building 24.
Wadi Fidan,30.669,35.389,-1200,-586,Burial,"The western gateway to the Faynan district 23. Surveyed sectors documented cemeteries, campsites, and several small-scale copper smelting scatters demonstrating simpler technologies than the major lowland centers 23."
Khirbat Hamra Ifdan (KHI),30.661394,35.3927,-1192,-1021,Smelting,"The largest Early Bronze Age copper manufactory in the Near East 28. However, it features a large eastern surface ""slag mound"" confirmed by archaeomagnetism and radiocarbon to date to the Iron Age I 28."
Wadi Fidan 40,30.673926,35.381107,-1090,-840,Burial,"The largest Iron Age cemetery in Edom (~3,450 m²) with an estimated 1,500 to 3,000 sub-surface cist graves 30. Attributed to a mobile nomadic community (Shasu) whose members were actively engaged in smelting 30."
Wadi Fidan 4,30.671285,35.384405,-1200,-600,Burial,"Well-preserved EBI village and metalworking site 32. Reused during the Iron Age for isolated tumuli burials, including Tomb 1 which contained eight individuals buried with Egyptian amulets 32."
Umm adh-Dhuhur (ez-Zuhur),30.673789,35.399239,-1000,-600,Mining,Small mining district with 24 tailing dumps 33. Shafts were dug into the local gravel to reach the buried Burj (DLS) formation 33. Probably supplied ore to Wadi Fidan's smelting sites 33.
Madsus,30.671509,35.410828,-1500,-600,Mining_Field_Placer,"Located near Jabal Madsus, containing 20–30 refilled pit mines (""Tellerpingen"") and a nearby early smelting installation 34."
Barqa el-Hetiye,30.60046,35.38041,-908,-843,Smelting,"Located far from the mines 35. Features an excavated ""four-room"" house (BH2) containing Midianite pottery and limited smelting remains, serving as an oasis road station on the route leading to the Gulf of Aqaba 35."
Rujm Hamra Ifdan (RHI),30.672203,35.390267,-1050,-524,Smelting,"Structural remains situated on a small, prominent inselberg 37. It is unique as the only stratified site in the Edom lowlands preserving clear evidence of both 10th-century and 7th–6th-century BCE occupations 38."
Jabal al-Jariya (JAJ),30.695061,35.429852,-1200,-586,Mining_Field_Placer,"A massive mining district consisting of three fields of pit mines (JAJ-1, 2, 3) in the colluvial/alluvial deposits of the Burj (DLS) formation, associated with a geological dike 39. It served as the main ore source for Khirbat en-Nahas 39."
